Temperature,Humidite,Pluviometrie_mm,NDVI,RendementEstime_t_ha,RendementMoyenZone_t_ha,Surface_ha,AgeCulture_jours,RatioRendement,IndiceStressThermoHydrique,ProductionTotaleEstimee_t,Ecart_NDVI_Typique,Capteur_Manuel,Capteur_Satellite,Capteur_Station_Sol,StadeCulture_Levée,StadeCulture_Maturation,StadeCulture_Récolte,StadeCulture_Semis,StadeCulture_Tallage,TypeCulture_Colza,TypeCulture_Maïs,TypeCulture_Tournesol,TypeCulture_Vigne,TypeSol_Calcaire,TypeSol_Limoneux,TypeSol_Sableux,Irrigation_Aucune,Irrigation_Goutte-à-goutte,Irrigation_Gravitaire,Region_Bourgogne-Franche-Comté,Region_Bretagne,Region_Centre-Val de Loire,Region_Grand Est,Region_Hauts-de-France,Region_Normandie,Region_Nouvelle-Aquitaine,Region_Occitanie,Region_Pays de la Loire
4.1,79.8,17.0,0.9024,6.86,9.17,16.91,0,0.7480907872510499,82.82000000000001,116.0026,0.31209999999999993,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7.4,91.3,0.1,0.5347,4.89,4.78,126.24,0,1.0230104121121084,64.38000000000002,617.3136,-0.06340000000000001,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12.3,66.9,1.5,0.5714,6.17,6.92,108.83,396,0.8916172086456523,407.12999999999994,671.4811,-0.0030000000000000027,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
9.0,61.3,1.0,0.5131,8.37,8.11,61.9,0,1.0320579136153962,348.3,518.103,-0.0847,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
24.1,60.6,0.0,0.3205,2.6,1.99,73.82,178,1.3065260978588047,949.5400000000001,191.932,-0.26655000000000006,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
15.5,91.0,0.7,0.6305,7.31,8.62,111.85,0,0.8480268584375192,139.5,817.6234999999999,0.028699999999999948,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
10.9,67.7,11.1,0.6801,6.72,7.88,76.6,276,0.8527907959507666,352.07,514.752,0.0514,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.1,77.2,7.7,0.6698,4.38,6.53,12.48,155,0.6707493556671429,503.88,54.6624,0.0756,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17.0,55.6,2.8,0.1296,3.5,5.37,54.97,0,0.6517678738028421,754.8,192.39499999999998,-0.46459999999999996,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.1,53.9,8.0,0.4032,5.26,5.8,157.72,0,0.9068949881120895,373.40999999999997,829.6071999999999,-0.20809999999999995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
14.3,86.1,1.2,0.8952,5.98,7.67,7.05,34,0.7796600004432851,198.7700000000001,42.159,0.27105,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
25.4,84.4,5.7,0.7095,1.98,2.26,91.08,0,0.8761023181313358,396.23999999999984,180.3384,0.09350000000000003,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4.4,65.5,1.5,0.8189,7.42,9.4,148.34,350,0.7893608623820613,151.8,1100.6828,0.22109999999999996,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27.9,78.2,2.7,0.7575,2.55,3.91,61.98,462,0.6521722450837721,608.2199999999999,158.04899999999998,0.15600000000000003,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2.1,88.5,0.4,0.4551,4.02,3.04,131.29,0,1.3223640711708182,24.150000000000002,527.7857999999999,-0.11869999999999997,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
14.1,55.8,13.3,0.7639,8.5,7.47,76.35,195,1.137883349553749,623.22,648.9749999999999,0.1775500000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
8.6,49.9,1.1,0.7222,4.06,4.08,153.62,0,0.9950956002558817,430.86,623.6972,0.14839999999999998,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
21.1,91.7,2.8,0.5095,2.29,1.91,5.47,105,1.1989466023738096,175.12999999999994,12.526299999999999,-0.0726,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25.2,79.8,5.7,0.5946,2.29,2.96,40.99,465,0.7736460349796116,509.0400000000001,93.86710000000001,0.007549999999999946,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6.0,90.6,3.0,0.3593,7.56,5.97,81.81,232,1.2663295371364538,56.400000000000034,618.4836,-0.23489999999999994,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
24.7,88.3,2.3,0.9071,3.78,3.18,25.49,506,1.1886755073097253,288.99000000000007,96.35219999999998,0.3126,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
19.4,55.4,26.1,0.6887,2.19,3.58,129.2,489,0.6117301348320255,865.24,282.948,0.10164999999999991,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19.1,117.7,1.2,0.3017,1.77,2.06,40.99,544,0.8592191300042232,-338.0700000000001,72.5523,-0.2803999999999999,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6.8,66.7,0.9,0.4224,8.8,7.94,47.91,0,1.108310946711654,226.43999999999997,421.608,-0.20174999999999998,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10.1,64.9,1.9,0.2275,3.17,3.1,6.72,26,1.0225773465246886,354.50999999999993,21.3024,-0.3732,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
26.2,41.7,0.0,0.7945,5.56,7.01,108.83,104,0.7931515076298037,1527.4599999999998,605.0948,0.22009999999999996,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
13.3,83.8,16.2,0.3788,2.84,3.12,23.15,0,0.9102534927772666,215.46000000000004,65.746,-0.20329999999999993,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
23.9,53.0,6.4,0.8898,3.38,3.94,14.1,0,0.8578658429800939,1123.3,47.657999999999994,0.2773500000000001,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
5.6,62.1,15.2,0.5967,8.55,8.86,83.3,0,0.9650101975054206,212.23999999999998,712.215,-0.0010999999999999899,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19.9,76.2,2.1,0.8582,2.34,2.6,146.67,108,0.899996538474852,473.6199999999999,343.20779999999996,0.2711499999999999,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.5,86.4,0.9,0.3617,7.75,9.32,106.44,0,0.8315441721629054,319.59999999999985,824.91,-0.21955000000000002,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
22.1,74.3,4.0,0.8209,3.43,2.57,72.82,113,1.334625157100556,567.9700000000001,249.77259999999998,0.20845000000000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.2,20.2,14.1,0.1386,0.62,3.02,155.04,0,0.20529733345253823,335.16,96.1248,-0.44349999999999995,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.4,57.6,2.5,0.6739,7.8,5.24,18.7,81,1.4885467775824854,695.3599999999999,145.85999999999999,0.0626000000000001,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
-0.3,43.4,1.5,0.4287,3.0,2.58,161.76,0,1.1627861907511985,-16.98,485.28,-0.15339999999999993,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
16.0,37.8,3.0,0.6929,6.67,6.02,18.7,0,1.107971581442556,995.2,124.729,0.09419999999999995,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
13.0,35.2,5.1,0.6166,3.21,2.71,141.82,0,1.1844974741790621,842.4,455.24219999999997,0.0017500000000001403,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
12.4,82.6,21.7,0.7767,6.57,5.6,39.23,0,1.1732121906925168,215.76000000000008,257.7411,0.1825,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3.9,65.8,3.2,0.7945,3.1,3.2,153.62,187,0.9687469726657104,133.38,476.22200000000004,0.19489999999999996,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
24.3,44.7,10.4,0.3612,11.12,9.14,86.57,0,1.2166288658327507,1343.79,962.6583999999998,-0.24059999999999998,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.3,83.6,2.7,0.5728,7.61,7.19,127.24,0,1.0584129924714987,86.92000000000003,968.2964,-0.01045000000000007,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
17.2,71.5,50.7,0.0635,1.54,2.55,49.56,148,0.6039192003168615,490.2,76.3224,-0.531,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16.0,93.7,1.9,0.8924,5.96,5.62,186.77,0,1.060496333636417,100.79999999999995,1113.1492,0.2811,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
21.4,81.5,6.9,0.8756,6.3,8.77,138.47,0,0.7183572196610951,395.9,872.361,0.27380000000000004,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
9.1,65.7,0.3,0.4959,5.84,6.19,21.07,218,0.94345566485353,312.12999999999994,123.0488,-0.10219999999999996,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20.5,82.0,108.5,0.4047,7.31,9.32,121.03,0,0.7843339223884953,369.0,884.7293,-0.18495,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
5.7,42.4,11.1,0.448,7.59,8.72,19.88,287,0.8704118458579749,328.32,150.8892,-0.14230000000000004,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.9,83.0,3.2,0.4185,5.64,7.85,93.66,0,0.7184704223306723,287.29999999999995,528.2424,-0.20565,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24.2,50.9,3.7,0.8184,6.6,6.39,69.34,396,1.032862233392436,1188.22,457.644,0.2197,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
17.6,83.8,15.6,0.3147,1.93,2.7,152.99,594,0.714812167362343,285.12000000000006,295.27070000000003,-0.2831,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5.8,67.2,12.2,0.603,7.57,9.51,159.28,0,0.7960033690816309,190.23999999999998,1205.7496,0.012699999999999934,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
12.6,45.9,6.1,0.801,8.81,8.29,198.92,417,1.0627248941798624,681.66,1752.4852,0.21135000000000004,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13.8,39.5,0.6,0.2169,11.35,8.25,83.3,0,1.3757559081746569,834.9000000000001,945.4549999999999,-0.36530000000000007,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-1.0,62.4,10.8,0.7427,3.19,3.81,67.08,0,0.8372681436531663,-37.6,213.9852,0.1431,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20.7,60.2,12.1,0.7276,5.94,7.92,151.34,0,0.7499990530314988,823.8599999999999,898.9596,0.14434999999999998,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
28.6,83.8,15.0,0.6799,4.37,3.6,175.05,0,1.213885516984675,463.3200000000001,764.9685000000001,0.06745000000000001,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13.4,38.6,11.3,0.4673,8.13,8.67,47.73,425,0.937715181412709,822.76,388.0449,-0.11490000000000006,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
23.8,67.5,3.6,0.4007,7.53,6.48,156.15,0,1.162035243772772,773.5,1175.8095,-0.198,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
13.8,48.9,6.2,0.8338,6.52,7.77,35.32,392,0.8391237591714812,705.1800000000001,230.2864,0.20965,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4.6,36.8,0.9,0.3358,8.27,6.5,25.37,208,1.272305734914254,290.71999999999997,209.8099,-0.25054999999999994,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
19.8,68.0,4.3,0.6718,3.82,3.67,30.21,87,1.040869098449323,633.6,115.4022,0.059350000000000014,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
19.6,61.8,3.9,0.4351,1.78,1.84,155.06,118,0.9673860468149629,748.7200000000001,276.0068,-0.14699999999999996,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21.9,51.0,14.9,0.3772,7.32,9.01,65.09,92,0.8124297309325962,1073.1,476.45880000000005,-0.20405000000000006,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22.4,93.6,12.1,0.7341,2.63,1.93,91.47,0,1.3626872399624872,143.36000000000013,240.56609999999998,0.1470499999999999,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
5.5,79.4,23.8,0.2284,3.12,7.29,124.17,0,0.42798295201241154,113.29999999999997,387.41040000000004,-0.35794999999999993,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3.6,76.9,0.9,0.6058,6.26,6.16,88.25,274,1.0162321165063044,83.15999999999998,552.4449999999999,0.011600000000000055,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18.3,38.8,1.2,0.4809,6.16,5.46,182.26,499,1.128203061899154,1119.96,1122.7216,-0.08089999999999997,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19.1,53.1,2.3,0.7592,5.36,7.84,125.51,104,0.683672597356381,895.7900000000001,672.7336,0.18479999999999996,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33.6,59.8,1.2,0.7611,6.26,6.03,50.38,174,1.038140898605475,1350.7200000000003,315.3788,0.16690000000000005,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11.2,65.8,6.1,0.846,6.34,7.5,145.83,367,0.8453322062237251,383.04,924.5622000000001,0.21729999999999994,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14.3,66.9,5.7,0.8734,6.93,6.0,97.13,0,1.1549980750032083,473.3299999999999,673.1108999999999,0.27469999999999994,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.8,54.1,1.3,0.6638,2.96,2.56,191.18,0,1.1562454834160802,128.51999999999998,565.8928,0.06599999999999995,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
26.1,90.7,3.7,0.7988,10.91,9.17,138.25,179,1.1897478846806055,242.72999999999993,1508.3075000000001,0.19699999999999995,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
18.3,22.4,3.5,0.7249,1.46,6.53,157.15,41,0.2235831185557143,1420.08,229.439,0.11360000000000003,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16.6,76.5,8.2,0.4118,8.56,7.71,101.795,0,1.1102449931971554,390.1,871.3652000000001,-0.21234999999999998,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
25.8,78.3,5.8,0.5675,2.39,1.95,16.48,0,1.225634740334665,559.8600000000001,39.3872,-0.019550000000000067,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4.0,46.7,7.4,0.5504,8.11,8.17,194.65,383,0.9926548437517212,213.2,1578.6115,-0.03180000000000005,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14.9,92.4,11.6,0.5659,2.4,1.82,131.61,371,1.3186740732193778,113.23999999999992,315.86400000000003,-0.04894999999999994,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9.6,70.5,0.9,0.6111,3.56,2.12,30.21,15,1.6792373620879146,283.2,107.5476,0.029799999999999938,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
16.0,89.8,1.1,0.6287,9.32,7.7,44.88,0,1.210388038457093,163.20000000000005,418.2816,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15.8,90.2,8.5,0.7584,7.65,9.11,32.84,8,0.8397356314647296,154.83999999999997,251.22600000000003,0.1761999999999999,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
20.4,63.2,9.1,0.4907,4.57,5.98,48.56,102,0.7642127688749685,750.7199999999999,221.91920000000002,-0.07109999999999994,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22.6,63.0,1.9,0.3978,2.49,3.81,151.64,494,0.6535415917543523,836.2,377.5836,-0.20369999999999994,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
19.5,45.5,1.8,0.5643,2.08,3.54,93.2,0,0.5875689616695998,1062.75,193.85600000000002,-0.009499999999999953,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
7.5,69.3,7.9,0.4334,3.53,3.22,8.68,0,1.096269887360598,230.25000000000003,30.640399999999996,-0.16110000000000002,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
8.7,64.8,3.2,0.7774,3.0,4.24,74.95,311,0.7075455010719315,306.24,224.85000000000002,0.17779999999999996,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8.8,65.2,3.4,0.7629,4.64,5.23,145.22,0,0.8871875961996248,306.24,673.8208,0.16480000000000006,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
8.5,80.0,0.5,0.7808,4.52,5.05,50.38,0,0.8950477325787474,170.0,227.71759999999998,0.1866000000000001,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24.4,41.6,24.3,0.5276,8.5,8.66,91.03,489,0.9815231160241155,1424.9599999999998,773.755,-0.0686,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.3,46.5,3.7,0.5365,5.56,7.77,46.82,0,0.7155717946308949,16.05,260.31919999999997,-0.09220000000000006,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
9.0,75.0,6.0,0.7856,9.19,9.41,130.12,0,0.9766195785126689,225.0,1195.8028,0.18379999999999996,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23.1,61.6,3.5,0.7381,2.86,5.01,108.12,108,0.5708571439977166,887.0400000000001,309.2232,0.13660000000000005,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
12.9,93.4,11.3,0.1417,1.1,2.66,68.69,0,0.41353227995383474,85.13999999999993,75.559,-0.4561,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
13.7,56.7,1.3,0.4417,4.47,6.04,175.35,0,0.7400649998923843,593.2099999999999,783.8145,-0.16959999999999997,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12.0,72.9,4.6,0.5795,3.11,2.42,91.585,0,1.285118656534477,325.19999999999993,284.82935,-0.03534999999999988,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
34.8,53.2,115.3,0.0738,1.91,6.73,18.95,0,0.283803441599641,1628.6399999999999,36.1945,-0.5224,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
22.0,35.8,16.3,0.761,9.33,9.48,128.225,176,0.9841761770293491,1412.4,1196.33925,0.1592,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
27.7,79.2,2.1,0.3722,8.64,6.42,91.585,0,1.345792296273682,576.1599999999999,791.2944,-0.20220000000000005,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
28.8,94.8,16.6,0.4559,5.84,7.96,46.82,143,0.733667420015804,149.76000000000008,273.42879999999997,-0.12735000000000002,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
9.6,54.0,17.1,0.7616,7.25,8.71,140.45,0,0.8323756229900998,441.59999999999997,1018.2624999999999,0.1794,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22.6,60.7,3.3,0.3542,7.25,6.09,177.15,51,1.19047423567449,888.18,1284.3375,-0.2445,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4.4,40.0,9.6,0.8136,9.11,7.08,56.98,0,1.2867213464387761,264.0,519.0877999999999,0.18489999999999995,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2.4,90.2,9.9,0.5436,2.63,4.17,164.59,0,0.6306939311896135,23.519999999999992,432.8717,-0.030200000000000005,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16.8,50.8,1.3,0.3091,7.03,8.69,57.18,403,0.8089749033660492,826.5600000000001,401.97540000000004,-0.27310000000000006,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
